id,schema,table
inventory.products,inventory,products
inventory.warehouses,inventory,warehouses
inventory.suppliers,inventory,suppliers
inventory.inventory_movements,inventory,inventory_movements
inventory.stock_levels,inventory,stock_levels
inventory.shipments,inventory,shipments
inventory.receipts,inventory,receipts
inventory.adjustments,inventory,adjustments
inventory.items,inventory,items
inventory.locations,inventory,locations
production.machines,production,machines
production.production_runs,production,production_runs
production.operators,production,operators
production.maintenance,production,maintenance
production.production_plans,production,production_plans
production.materials,production,materials
production.batches,production,batches
production.quality_checks,production,quality_checks
production.shift_reports,production,shift_reports
production.downtime,production,downtime
hr.employees,hr,employees
hr.departments,hr,departments
hr.salaries,hr,salaries
hr.performance_reviews,hr,performance_reviews
hr.training_sessions,hr,training_sessions
hr.attendance_records,hr,attendance_records
hr.leave_requests,hr,leave_requests
hr.payroll,hr,payroll
hr.benefits,hr,benefits
hr.recruitment,hr,recruitment
inventory.inventory_audits,inventory,inventory_audits
inventory.order_requests,inventory,order_requests
inventory.return_requests,inventory,return_requests
inventory.vendor_contacts,inventory,vendor_contacts
production.production_targets,production,production_targets
production.efficiency_reports,production,efficiency_reports
production.material_requisitions,production,material_requisitions
production.production_statistics,production,production_statistics
production.safety_incidents,production,safety_incidents
production.process_logs,production,process_logs
hr.job_descriptions,hr,job_descriptions
hr.employee_relations,hr,employee_relations
hr.compensation,hr,compensation
hr.compliance,hr,compliance
inventory.product_catalog,inventory,product_catalog
inventory.purchase_orders,inventory,purchase_orders
production.work_orders,production,work_orders
production.production_schedules,production,production_schedules
hr.onboarding,hr,onboarding
hr.exit_interviews,hr,exit_interviews
